file_path,lines,size_kb,last_commit,owner,extension
"src/features/search/pages/SetSearch.tsx",294,16,"2025-08-09T09:25:14+02:00","Claude","tsx"
"src/features/search/pages/SealedProductSearch.tsx",269,12,"2025-08-09T10:58:59+02:00","Claude","tsx"
"src/features/auction/services/AuctionDataService.ts",222,8,"2025-08-09T09:57:44+02:00","Claude","ts"
"src/features/auction/pages/Auctions.tsx",526,28,"2025-08-09T18:59:05+02:00","Claude","tsx"
"src/features/auction/pages/AuctionDetail.tsx",836,32,"2025-08-09T18:59:05+02:00","Claude","tsx"
"src/features/auction/pages/CreateAuction.tsx",452,20,"2025-08-09T09:25:14+02:00","Claude","tsx"
"src/features/auction/pages/AuctionEdit.tsx",572,24,"2025-08-09T10:58:59+02:00","Claude","tsx"
"src/features/auction/components/auction/index.ts",8,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/features/auction/components/auction/AuctionItemCard.tsx",186,8,"2025-08-06T19:28:29+02:00","Claude","tsx"
"src/features/auction/components/auction/sections/AuctionItemsSection.tsx",91,4,"2025-08-06T19:28:29+02:00","Claude","tsx"
"src/features/auction/components/auction/RefactoredAuctionContent.tsx",316,12,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/features/dashboard/pages/Dashboard.tsx",439,24,"2025-08-09T10:58:59+02:00","Claude","tsx"
"src/features/dashboard/pages/DbaExport.tsx",240,8,"2025-08-09T18:59:05+02:00","Claude","tsx"
"src/features/dashboard/components/dba/DbaItemCustomizer.tsx",165,8,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/features/dashboard/components/dba/DbaExportActionsCosmic.tsx",71,4,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/features/dashboard/components/dba/DbaExportActions.tsx",54,4,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/features/dashboard/components/dba/DbaHeaderActions.tsx",25,4,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/features/dashboard/components/dba/DbaExportConfiguration.tsx",138,8,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/features/dashboard/components/dba/DbaCosmicBackground.tsx",52,4,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/features/dashboard/components/dba/DbaItemsWithoutTimers.tsx",132,8,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/features/dashboard/components/dba/itemDisplay/ItemCustomizationCard.tsx",139,8,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/features/dashboard/components/dba/DbaItemsWithTimers.tsx",130,8,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/features/dashboard/components/dba/DbaExportSuccess.tsx",50,4,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/features/dashboard/components/dba/DbaCustomDescriptionInput.tsx",34,4,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/features/dashboard/components/dashboard/index.ts",16,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/features/dashboard/components/dashboard/DashboardStatCard.tsx",177,8,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/features/collection/services/CollectionItemService.ts",72,4,"2025-08-09T09:57:44+02:00","Claude","ts"
"src/features/collection/pages/CollectionItemDetail.tsx",271,12,"2025-08-09T10:58:59+02:00","Claude","tsx"
"src/features/collection/pages/Collection.tsx",280,12,"2025-08-09T18:59:05+02:00","Claude","tsx"
"src/features/collection/pages/AddEditItem.tsx",414,20,"2025-08-09T18:59:05+02:00","Claude","tsx"
"src/features/collection/components/collection/ItemImageGallery.tsx",94,4,"2025-08-09T15:14:35+02:00","Claude","tsx"
"src/features/collection/components/collection/CollectionItemHeader.tsx",151,8,"2025-08-09T18:59:05+02:00","Claude","tsx"
"src/features/collection/components/collection/ItemSaleDetails.tsx",122,8,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/features/collection/components/collection/index.ts",40,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/features/collection/components/collection/ItemDetailSection.tsx",245,8,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/features/collection/components/collection/ItemPriceHistory.tsx",86,4,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/features/collection/components/collection/ItemEssentialDetails.tsx",118,4,"2025-08-09T15:14:35+02:00","Claude","tsx"
"src/features/analytics/pages/Activity.tsx",465,20,"2025-08-09T09:25:14+02:00","Claude","tsx"
"src/features/analytics/pages/SalesAnalytics.tsx",319,16,"2025-08-09T18:59:05+02:00","Claude","tsx"
"src/features/analytics/pages/Analytics.tsx",151,8,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/features/analytics/components/analytics/ActivityTimeline.tsx",207,12,"2025-08-06T18:14:30+02:00","Claude","tsx"
"src/features/analytics/components/analytics/index.ts",22,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/features/analytics/components/analytics/CategoryStats.tsx",101,4,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/features/analytics/components/analytics/AnalyticsBackground.tsx",79,4,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/features/analytics/components/analytics/AnalyticsHeader.tsx",37,4,"2025-08-06T17:52:22+02:00","Claude","tsx"
"src/features/analytics/components/analytics/MetricsGrid.tsx",82,4,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/shared/utils/navigation/index.ts",634,20,"2025-08-09T09:25:14+02:00","Claude","ts"
"src/shared/utils/validation/index.ts",1362,36,"2025-08-09T10:24:17+02:00","Claude","ts"
"src/shared/utils/validation/formValidation.ts",263,8,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/utils/storage/index.ts",572,16,"2025-08-09T10:10:14+02:00","Claude","ts"
"src/shared/utils/transformers/unifiedResponseTransformer.ts",281,8,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/utils/transformers/apiOptimization.ts",202,8,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/utils/transformers/responseTransformer.ts",665,20,"2025-08-09T10:04:38+02:00","Claude","ts"
"src/shared/utils/api/ZipImageUtility.ts",133,4,"2025-08-06T16:27:32+02:00","Claude","ts"
"src/shared/utils/ui/imageUtils.ts",152,8,"2025-08-09T15:46:59+02:00","Claude","ts"
"src/shared/utils/ui/cosmicEffects.ts",221,8,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/utils/ui/classNameUtils.ts",610,16,"2025-08-09T09:36:59+02:00","Claude","ts"
"src/shared/utils/ui/themeConfig.ts",77,4,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/utils/ui/context7Styles.ts",218,8,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/utils/ui/themeUtils.ts",388,12,"2025-08-09T09:36:59+02:00","Claude","ts"
"src/shared/utils/file/csvExport.ts",159,4,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/utils/file/exportFormats.ts",97,4,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/utils/file/imageProcessing.ts",404,12,"2025-08-06T16:21:35+02:00","Claude","ts"
"src/shared/utils/helpers/exportUtils.ts",439,12,"2025-08-09T10:10:14+02:00","Claude","ts"
"src/shared/utils/helpers/performanceTest.ts",293,12,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/utils/helpers/common.ts",317,8,"2025-08-09T15:46:59+02:00","Claude","ts"
"src/shared/utils/helpers/itemDisplayHelpers.ts",246,8,"2025-08-06T19:36:35+02:00","Claude","ts"
"src/shared/utils/helpers/auctionStatusUtils.ts",123,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/utils/helpers/orderingUtils.ts",304,8,"2025-08-09T10:10:14+02:00","Claude","ts"
"src/shared/utils/helpers/fileOperations.ts",88,4,"2025-08-06T16:21:35+02:00","Claude","ts"
"src/shared/utils/helpers/activityHelpers.ts",191,8,"2025-08-06T16:21:35+02:00","Claude","ts"
"src/shared/utils/helpers/errorHandler.ts",599,16,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/utils/helpers/debounceUtils.ts",83,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/utils/helpers/__tests__/common.test.ts",35,4,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/utils/helpers/constants.ts",73,4,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/utils/helpers/searchHelpers.ts",440,12,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/utils/helpers/performanceOptimization.ts",340,12,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/utils/helpers/unifiedUtilities.ts",579,16,"2025-08-09T09:36:59+02:00","Claude","ts"
"src/shared/utils/helpers/formatting.ts",381,12,"2025-08-06T19:36:35+02:00","Claude","ts"
"src/shared/utils/core/index.ts",146,4,"2025-08-09T15:46:59+02:00","Claude","ts"
"src/shared/utils/theme/ThemePropertyManager.ts",148,8,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/utils/theme/index.ts",425,12,"2025-08-09T09:51:21+02:00","Claude","ts"
"src/shared/utils/performance/logger.ts",19,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/utils/performance/lazyImports.ts",46,4,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/utils/performance/apiLogger.ts",137,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/interfaces/api/ICollectionApiService.ts",104,4,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/interfaces/api/ISetProductApiService.ts",56,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/interfaces/api/IExportApiService.ts",86,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/interfaces/api/IUploadApiService.ts",13,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/interfaces/api/ISearchApiService.ts",97,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/domain/services/SalesAnalyticsService.ts",252,8,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/domain/models/sealedProduct.ts",59,4,"2025-08-09T10:10:14+02:00","Claude","ts"
"src/shared/domain/models/sale.ts",47,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/domain/models/card.ts",125,4,"2025-08-09T10:10:14+02:00","Claude","ts"
"src/shared/domain/models/product.ts",40,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/domain/models/setProduct.ts",16,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/domain/models/auction.ts",40,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/services/forms/FormValidationService.ts",363,12,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/services/UnifiedApiService.ts",1060,40,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/services/SearchPaginationService.ts",170,8,"2025-08-06T17:41:26+02:00","Claude","ts"
"src/shared/services/index.ts",42,4,"2025-08-06T16:34:18+02:00","Claude","ts"
"src/shared/services/SetProductApiService.ts",313,12,"2025-08-06T17:36:57+02:00","Claude","ts"
"src/shared/services/CollectionApiService.ts",431,16,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/services/SearchApiService.ts",283,8,"2025-08-06T17:36:57+02:00","Claude","ts"
"src/shared/services/CompositeCollectionApiService.ts",139,8,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/services/ServiceRegistry.ts",181,8,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/services/collection/SealedProductApiService.ts",119,4,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/services/collection/index.ts",8,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/services/collection/RawCardApiService.ts",111,4,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/services/collection/PsaCardApiService.ts",119,4,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/services/base/HttpClientInterface.ts",102,4,"2025-08-06T16:32:06+02:00","Claude","ts"
"src/shared/services/base/BaseApiService.ts",256,8,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/services/base/index.ts",9,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/services/base/UnifiedHttpClient.ts",130,4,"2025-08-06T16:32:06+02:00","Claude","ts"
"src/shared/services/base/ErrorHandlingService.ts",153,8,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/services/ExportApiService.ts",296,12,"2025-08-09T10:15:02+02:00","Claude","ts"
